GU_HE_GUbSF,Fine_Coarse_Recycled,wb_0_32__0_345__0_37,sb_1_8__2__2_3,PCE_1__PCE_2__SNP,SP_d,B,CSH_C,ex1,ex2,Flow_5m,SS_90m,Strength_28D
2,3,0.1,2,3,0.45,0,0,0,0,0,,
3,2,0.1,2.3,1,0.26,0,0.3,0,0,0,,
3,1,0.1,2,1,0.26,0.009,0,0,0,0,,
3,1,0.1,1.8,3,0.45,0,0,0,0,0,,
3,1,0.1,1.8,1,0.26,0,0,0,0,0,,
3,1,0.1,1.8,1,0.26,0.004,0,0,0,0,,
3,1,0.1,1.8,1,0.26,0,0,0.5,0,0,,
3,1,0.1,1.8,1,0.26,0.004,0,0.5,0,0,,
3,1,0.1,1.8,1,0.26,0,0,0,0.7,0,,
3,1,0.1,1.8,1,0.26,0.004,0,0,0.7,0,,
3,1,0.1,1.8,1,0.26,0,0,0.5,0.7,0,,
3,1,0.1,1.8,1,0.26,0.004,0,0.5,0.7,0,,
3,1,0.1,1.8,1,0.26,0,0.3,0,0,0,,
3,1,0.1,1.8,1,0.26,0.004,0.3,0,0,0,,
3,1,0.1,1.8,1,0.26,0,0.3,0.5,0,0,,
3,1,0.1,1.8,1,0.26,0.004,0.3,0.5,0,0,,
3,1,0.1,1.8,1,0.26,0,0.3,0,0.7,0,,
3,1,0.1,1.8,1,0.26,0.004,0.3,0,0.7,0,,
3,1,0.1,1.8,1,0.26,0,0.3,0.5,0.7,0,,
3,1,0.1,1.8,1,0.26,0.004,0.3,0.5,0.7,0,,
1,1,0.1,2,1,0.26,0,0.3,0,0,0,,
1,2,0.32,0,1,0.26,0,0,0,0,152,,
1,2,0.345,0,3,0.45,0.009,0,0,0,152,,
1,1,0.32,0,3,0.45,0,0.3,0,0,152,,
2,1,0.345,0,2,0.26,0,0.3,0,0,152,,
2,1,0.37,0,1,0.26,0,0,0,0,152,,
2,3,0.345,0,1,0.26,0.009,0,0,0,152,,
3,2,0.37,0,2,0.26,0,0,0,0,152,,
3,3,0.32,0,2,0.26,0,0.3,0,0,152,,
3,3,0.37,0,3,0.45,0.009,0,0,0,152,,
1,1,0.37,0,2,0.26,0.009,0,0,0,152,,
1,3,0.345,0,2,0.26,0,0,0,0,152,,
1,3,0.37,0,1,0.26,0,0.3,0,0,152,,
2,2,0.32,0,2,0.26,0.009,0,0,0,152,,
2,2,0.37,0,3,0.45,0,0.3,0,0,152,,
2,3,0.32,0,3,0.45,0,0,0,0,152,,
3,2,0.345,0,1,0.26,0,0.3,0,0,152,,
3,1,0.32,0,1,0.26,0.009,0,0,0,152,,
3,1,0.345,0,3,0.45,0,0,0,0,152,,
3,1,0.345,0,1,0.26,0,0,0,0,152,,
3,1,0.345,0,1,0.26,0.004,0,0,0,152,,
3,1,0.345,0,1,0.26,0,0,0.5,0,152,,
3,1,0.345,0,1,0.26,0.004,0,0.5,0,152,,
3,1,0.345,0,1,0.26,0,0,0,0.7,152,,
3,1,0.345,0,1,0.26,0.004,0,0,0.7,152,,
3,1,0.345,0,1,0.26,0,0,0.5,0.7,152,,
3,1,0.345,0,1,0.26,0.004,0,0.5,0.7,152,,
3,1,0.345,0,1,0.26,0,0.3,0,0,152,,
3,1,0.345,0,1,0.26,0.004,0.3,0,0,152,,
3,1,0.345,0,1,0.26,0,0.3,0.5,0,152,,
3,1,0.345,0,1,0.26,0.004,0.3,0.5,0,152,,
3,1,0.345,0,1,0.26,0,0.3,0,0.7,152,,
3,1,0.345,0,1,0.26,0.004,0.3,0,0.7,152,,
3,1,0.345,0,1,0.26,0,0.3,0.5,0.7,152,,
3,1,0.345,0,1,0.26,0.004,0.3,0.5,0.7,152,,
1,1,0.37,0,1,0.26,0,0.3,0,0,152,,
1,2,0.32,3.5,1,0.26,0,0,0,0,0,,
1,2,0.345,3.5,3,0.45,0.009,0,0,0,0,,
1,1,0.32,3.5,3,0.45,0,0.3,0,0,0,,
2,1,0.345,3.5,2,0.26,0,0.3,0,0,0,,
2,1,0.37,3.5,1,0.26,0,0,0,0,0,,
2,3,0.345,3.5,1,0.26,0.009,0,0,0,0,,
3,2,0.37,3.5,2,0.26,0,0,0,0,0,,
3,3,0.32,3.5,2,0.26,0,0.3,0,0,0,,
3,3,0.37,3.5,3,0.45,0.009,0,0,0,0,,
1,1,0.37,3.5,2,0.26,0.009,0,0,0,0,,
1,3,0.345,3.5,2,0.26,0,0,0,0,0,,
1,3,0.37,3.5,1,0.26,0,0.3,0,0,0,,
2,2,0.32,3.5,2,0.26,0.009,0,0,0,0,,
2,2,0.37,3.5,3,0.45,0,0.3,0,0,0,,
2,3,0.32,3.5,3,0.45,0,0,0,0,0,,
3,2,0.345,3.5,1,0.26,0,0.3,0,0,0,,
3,1,0.32,3.5,1,0.26,0.009,0,0,0,0,,
3,1,0.345,3.5,3,0.45,0,0,0,0,0,,
3,1,0.345,3.5,1,0.26,0,0,0,0,0,,
3,1,0.345,3.5,1,0.26,0.004,0,0,0,0,,
3,1,0.345,3.5,1,0.26,0,0,0.5,0,0,,
3,1,0.345,3.5,1,0.26,0.004,0,0.5,0,0,,
3,1,0.345,3.5,1,0.26,0,0,0,0.7,0,,
